CMPD_CHEMBLID,MOLREGNO,PARENT_CMPD_CHEMBLID,PARENT_MOLREGNO,MOL_PREF_NAME,COMPOUND_KEY,MOLWEIGHT,ALOGP,PSA,NUM_RO5_VIOLATIONS,CANONICAL_SMILES,ACTIVITY_ID,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,PCHEMBL_VALUE,PUBLISHED_TYPE,PUBLISHED_RELATION,PUBLISHED_VALUE,PUBLISHED_UNITS,ACTIVITY_COMMENT,DATA_VALIDITY_COMMENT,POTENTIAL_DUPLICATE,BAO_ENDPOINT,UO_UNITS,QUDT_UNITS,ASSAY_ID,ASSAY_CHEMBLID,ASSAY_TYPE,DESCRIPTION,ASSAY_SRC_ID,ASSAY_SRC_DESCRIPTION,ASSAY_ORGANISM,ASSAY_STRAIN,ASSAY_TAX_ID,CURATED_BY,BAO_FORMAT,TID,TARGET_CHEMBLID,TARGET_TYPE,PROTEIN_ACCESSION,PREF_NAME,ORGANISM,CONFIDENCE_SCORE,TARGET_MAPPING,APD_NAME,APD_CONFIDENCE,DOC_ID,DOC_CHEMBLID,PUBMED_ID,JOURNAL,YEAR,VOLUME,ISSUE,FIRST_PAGE,CELL_ID,CELL_CHEMBL_ID,CELL_NAME,ACTIVITY_PARAMS,ACTIVITY_PROPS
CHEMBL182794,304686,CHEMBL182794,304686,,23,491.65,6.56,62.16,1.0,CC(C)[C@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,1436347,IC50,=,0.5,nM,9.3,IC50,=,0.5,nM,,,1,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,305993,CHEMBL832667,B,Inhibition of bindign to recombinant human estrogen receptor alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20364,CHEMBL1144457,15582421.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,1.0,107.0,,,,,
CHEMBL367350,304767,CHEMBL367350,304767,,20,477.63,6.32,62.16,1.0,CC[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,7951008,IC50,=,0.5,nM,9.3,IC50,=,0.5,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,789796,CHEMBL1925012,B,Inhibition of ERalpha,1,Scientific Literature,,,,Autocuration,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,8,Homologous protein,,,60382,CHEMBL1921712,22061644.0,Bioorg. Med. Chem. Lett.,2011.0,21.0,24.0,7298.0,,,,,
CHEMBL328388,164228,CHEMBL328388,164228,,14,444.58,4.9,56.17,0.0,CC1(N(CCc2cc(O)ccc12)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,1439186,IC50,=,0.5998,nM,9.22,pIC50(uM),=,3.222,,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,307278,CHEMBL831663,B,Inhibition of transcriptional activation by human estrogen receptor alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20821,CHEMBL1141983,15686893.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,4.0,957.0,,,,,
CHEMBL184360,307178,CHEMBL184360,307178,,3,503.66,6.85,62.16,2.0,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C6CCCC5CCC6)cc4,1441168,IC50,=,0.6,nM,9.22,IC50,=,0.6,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,304574,CHEMBL831071,B,Binding potency for human ER alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20001,CHEMBL1137846,15225685.0,Bioorg. Med. Chem. Lett.,2004.0,14.0,15.0,3861.0,,,,,
CHEMBL367574,304735,CHEMBL367574,304735,,14,477.63,6.03,62.16,1.0,C[C@@H]1CN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C[C@@H]1C,1435366,IC50,=,0.7,nM,9.15,IC50,=,0.7,nM,,,1,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,305993,CHEMBL832667,B,Inhibition of bindign to recombinant human estrogen receptor alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20364,CHEMBL1144457,15582421.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,1.0,107.0,,,,,
CHEMBL180707,301606,CHEMBL180707,301606,,2f,569.08,6.83,81.08,2.0,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccc(Cl)cc6,1426002,IC50,=,0.78,nM,9.11,IC50,=,0.78,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,305325,CHEMBL833547,B,Inhibition of estrogen receptor alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20867,CHEMBL1141904,15713417.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,5.0,1505.0,,,,,
CHEMBL304552,109055,CHEMBL304552,109055,,1,463.6,5.93,62.16,1.0,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1442237,IC50,=,0.8,nM,9.1,IC50,=,0.8,nM,,,1,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,304575,CHEMBL831072,B,Binding potency for human ER alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20002,CHEMBL1137199,15225686.0,Bioorg. Med. Chem. Lett.,2004.0,14.0,15.0,3865.0,,,,,
CHEMBL3623003,1966690,CHEMBL3623003,1966690,,29b,406.5,5.35,56.33,1.0,C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(C)(C)F)c4ccc(\C=C\C(=O)O)cc4,15740539,IC50,=,0.8511,nM,9.07,pIC50,=,9.07,,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,1519262,CHEMBL3624759,B,Antagonist activity at ERalpha receptor in human MCF7 cells,1,Scientific Literature,Homo sapiens,,9606.0,Autocuration,BAO_0000219,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,93687,CHEMBL3621041,26407012.0,J. Med. Chem.,2015.0,58.0,20.0,8128.0,491.0,CHEMBL3308403,MCF7,,
CHEMBL135,27626,CHEMBL135,27626,ESTRADIOL,E2,272.39,3.61,40.46,0.0,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,15656961,IC50,=,0.9,nM,9.05,IC50,=,0.9,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,1508098,CHEMBL3599826,B,Inhibition of estrogen receptor alpha (unknown origin)-SRC1 coactivator interaction incubated for 1 hr by receptor cofactor assay system based method,1,Scientific Literature,Homo sapiens,,9606.0,Autocuration,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,92886,CHEMBL3596179,26183544.0,Bioorg. Med. Chem.,2015.0,23.0,15.0,4132.0,,,,,
CHEMBL411,860,CHEMBL411,860,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,268.36,4.83,40.46,0.0,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,7702720,IC50,=,0.915,nM,9.04,IC50,=,0.000915,uM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,774756,CHEMBL1909145,B,DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol),15,DrugMatrix,,,32644.0,Autocuration,BAO_0000219,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,59306,CHEMBL1909046,,,,,,,1759.0,CHEMBL3308860,Sf9,,
CHEMBL3774584,2074113,CHEMBL3774584,2074113,,23,419.44,4.85,60.77,0.0,C[C@@H]1Cc2cc(O)ccc2[C@H](N1CC(C)(C)F)c3c(F)cc(\C=C\C(=O)O)cc3F,16506107,IC50,=,0.97,nM,9.01,IC50,=,0.97,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,1561513,CHEMBL3776150,B,Displacement of fluormone ES2 from GST-tagged recombinant human ERalpha LBD after 1 hr by Lanthascreen TR-FRET assay,1,Scientific Literature,Homo sapiens,,9606.0,Autocuration,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,98570,CHEMBL3774369,26819673.0,ACS Med. Chem. Lett.,2016.0,7.0,1.0,94.0,,,,,
CHEMBL185231,307069,CHEMBL185231,307069,,13,503.66,6.57,62.16,2.0,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C[C@H]6CCCC[C@H]6C5)cc4,1442210,IC50,=,1.0,nM,9.0,IC50,=,1.0,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,304574,CHEMBL831071,B,Binding potency for human ER alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20001,CHEMBL1137846,15225685.0,Bioorg. Med. Chem. Lett.,2004.0,14.0,15.0,3861.0,,,,,
CHEMBL3657181,1990048,CHEMBL3657181,1990048,,BDBM129664,468.6,5.94,57.86,1.0,Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CC5CCC4C5)cc3)c6ccc(O)cc16,17643885,IC50,=,1.0,nM,9.0,IC50,=,1.0,nM,261357,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,1528692,CHEMBL3705466,B,"Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated, only 0.8 nM [3H]17beta-estradiol was used. The plate was incubated at room temperature for 2.5 h. At the end of this incubation period 150 uL of ice-cold dextran coated charcoal (5% activated charcoal coated with 0.05% 69K dextran) was added to each well and the plate was immediately centrifuged at 99 g for 5 minutes at 4 C. 200 uL of the supernatant solution was then removed for scintillation counting. Samples were counted to 2% or 10 minutes, whichever occurs first.",37,BindingDB Database,Homo sapiens,,9606.0,Autocuration,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,94499,CHEMBL3639280,,,2014.0,,,,,,,,
CHEMBL329892,150825,CHEMBL329892,150825,,12D,481.59,6.07,62.16,1.0,Oc1ccc(cc1)[C@H]2Sc3c(F)c(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1117364,IC50,=,1.0,nM,9.0,IC50,=,1.0,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,67363,CHEMBL873603,B,Displacement of [3H]17-beta-estradiol from full length human estrogen receptor alpha,1,Scientific Literature,,,,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,8,Homologous protein,,,6362,CHEMBL1146754,15125925.0,Bioorg. Med. Chem. Lett.,2004.0,14.0,11.0,2741.0,,,,,
CHEMBL1253498,702952,CHEMBL1253498,702952,,"6, BGC 945",647.64,0.94,239.32,2.0,OCC1=Nc2cc3CCC(N(CC#C)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c3cc2C(=O)N1,3465187,IC50,=,1.0,nM,9.0,IC50,=,1.0,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,661533,CHEMBL1253097,B,Inhibition of ERalpha expressed in human tumor cells,1,Scientific Literature,,,,Autocuration,BAO_0000219,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,8,Homologous protein,,,52841,CHEMBL1250453,20527892.0,J. Med. Chem.,2010.0,53.0,18.0,6539.0,,,,,
CHEMBL4059624,2199535,CHEMBL4059624,2199535,,38,442.5,5.47,93.29,1.0,Cn1nnnc1\C=C\c2ccc(Oc3c(sc4cc(O)ccc34)c5ccc(O)cc5)cc2,18113305,IC50,=,1.0,nM,9.0,IC50,=,1.0,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,1674615,CHEMBL4024644,B,Induction of selective estrogen receptor alpha degradation in human MCF7 cells harboring TK-ERE-Luc assessed as reduction in estradiol-induced transcriptional activity after 24 hrs by luciferase reporter gene assay,1,Scientific Literature,Homo sapiens,,9606.0,Autocuration,BAO_0000219,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,,,104895,CHEMBL4020850,29562737.0,J Med Chem,2018.0,61.0,7.0,2837.0,,,,,
CHEMBL178470,301944,CHEMBL178470,301944,,3,459.59,5.98,62.16,1.0,C[C@H]1[C@@H]([C@@H](Oc2ccc(O)cc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,1425929,IC50,=,1.4,nM,8.85,IC50,=,1.4,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,305467,CHEMBL831077,B,Inhibition of estrogen receptor alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20896,CHEMBL1142044,15745820.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,6.0,1675.0,,,,,
CHEMBL328190,162444,CHEMBL328190,162444,LASOFOXIFENE,4,413.56,5.73,32.7,1.0,Oc1ccc2[C@H]([C@H](CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1654175,IC50,=,1.4,nM,8.85,IC50,=,1.4,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,325824,CHEMBL863236,B,Inhibition of binding to recombinant human ERalpha by scintillation proximity assay,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,30340,CHEMBL1141200,16203138.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,23.0,5124.0,,,,,
CHEMBL2113002,1385253,CHEMBL2113002,1385253,,10,459.59,5.98,62.16,1.0,C[C@H](CN1CCCC1)Oc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c5ccc(O)cc5,1428070,IC50,=,1.5,nM,8.82,IC50,=,1.5,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,305467,CHEMBL831077,B,Inhibition of estrogen receptor alpha,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,20896,CHEMBL1142044,15745820.0,Bioorg. Med. Chem. Lett.,2005.0,15.0,6.0,1675.0,,,,,
CHEMBL44426,65573,CHEMBL44426,65573,PIPENDOXIFENE,6 /ERA-923,456.59,5.94,57.86,1.0,Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,994925,IC50,=,1.5,nM,8.82,IC50,=,1.5,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,99805,CHEMBL710408,F,In vitro antagonist effect on estrogen receptor alpha transcriptional activation in MCF-7 cells against 10 pM 17-beta-estradiol,1,Scientific Literature,Homo sapiens,,9606.0,Expert,BAO_0000219,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,15953,CHEMBL1134479,11356100.0,J. Med. Chem.,2001.0,44.0,11.0,1654.0,491.0,CHEMBL3308403,MCF7,,
CHEMBL180792,304430,CHEMBL180792,304430,,19,463.6,5.93,62.16,1.0,C[C@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,7951007,IC50,=,1.7,nM,8.77,IC50,=,1.7,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,789796,CHEMBL1925012,B,Inhibition of ERalpha,1,Scientific Literature,,,,Autocuration,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,8,Homologous protein,,,60382,CHEMBL1921712,22061644.0,Bioorg. Med. Chem. Lett.,2011.0,21.0,24.0,7298.0,,,,,
CHEMBL3805385,2085657,CHEMBL3805385,2085657,,12; RC18,657.96,11.44,78.79,2.0,CCCCCCCCCCCCCCCCCCNCCOc1ccc(cc1)C(=O)c2c(sc3cc(O)ccc23)c4ccc(O)cc4,16588391,IC50,=,1.8,nM,8.74,IC50,=,1.8,nM,,,0,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,1577035,CHEMBL3807011,B,Displacement of Fluormone ES2 from human recombinant full length untagged-ERalpha by fluorescence polarization competition binding assay,1,Scientific Literature,Homo sapiens,,9606.0,Autocuration,BAO_0000357,19,CHEMBL206,SINGLE PROTEIN,P03372,Estrogen receptor alpha,Homo sapiens,9,Protein,Hormone_recep,high,99314,CHEMBL3804822,27185013.0,Bioorg. Med. Chem.,2016.0,24.0,13.0,2914.0,,,,,
